dia;formato;mes;dia_semana;du;sab;dom;ferias;tipo_dia;feriado;ptes;eventos
20160207;07/02/2016;2;1;0;0;1;1;evento;0;0;1
20160208;08/02/2016;2;2;1;0;0;1;ponte;0;1;0
20160209;09/02/2016;2;3;1;0;0;1;feriado;1;0;0
20160210;10/02/2016;2;4;1;0;0;1;feriado;1;0;0
20160211;11/02/2016;2;5;1;0;0;1;normal;0;0;0
20160212;12/02/2016;2;6;1;0;0;1;evento;0;0;1
20160213;13/02/2016;2;7;0;1;0;1;evento;0;0;1
20160214;14/02/2016;2;1;0;0;1;1;normal;0;0;0
20160215;15/02/2016;2;2;1;0;0;1;normal;0;0;0
20160216;16/02/2016;2;3;1;0;0;1;normal;0;0;0
20160217;17/02/2016;2;4;1;0;0;1;normal;0;0;0
20160218;18/02/2016;2;5;1;0;0;1;normal;0;0;0
20160219;19/02/2016;2;6;1;0;0;1;normal;0;0;0
20160220;20/02/2016;2;7;0;1;0;1;normal;0;0;0
20160221;21/02/2016;2;1;0;0;1;1;normal;0;0;0
20160222;22/02/2016;2;2;1;0;0;1;normal;0;0;0
20160223;23/02/2016;2;3;1;0;0;1;normal;0;0;0
20160224;24/02/2016;2;4;1;0;0;1;normal;0;0;0
20160225;25/02/2016;2;5;1;0;0;1;normal;0;0;0
20160226;26/02/2016;2;6;1;0;0;1;normal;0;0;0
20160227;27/02/2016;2;7;0;1;0;1;normal;0;0;0
20160228;28/02/2016;2;1;0;0;1;1;normal;0;0;0
20160229;29/02/2016;2;2;1;0;0;1;normal;0;0;0
20160301;01/03/2016;3;3;1;0;0;0;normal;0;0;0
20160302;02/03/2016;3;4;1;0;0;0;normal;0;0;0
20160303;03/03/2016;3;5;1;0;0;0;normal;0;0;0
